        Frequency / THz                Eps' (Fit)/real
               502.15213                      -8.5953512
               502.49249                      -8.5685501
               502.83282                      -8.5418072
               503.17316                      -8.5151234
               503.51352                      -8.4884987
               503.85385                      -8.4619322
               504.05106                      -8.4465656
               504.19418                      -8.4354248
               504.53455                      -8.4089756
               504.87488                      -8.3825855
               505.21521                      -8.3562536
               505.55557                      -8.3299799
                505.8959                      -8.3037653
               506.23624                      -8.2776079
               506.57657                      -8.2515097
                506.9169                      -8.2254686
               507.02609                      -8.2171278
               507.25723                      -8.1994867
                507.5976                       -8.173562
               507.93793                      -8.1476955
               508.27826                      -8.1218872
               508.61862                       -8.096137
               508.95895                      -8.0704441
               509.29929                      -8.0448093
               509.63965                      -8.0192327
               509.97998                      -7.9937129
               510.01868                      -7.9908142
               510.32034                      -7.9682508
               510.66068                      -7.9428468
               511.00101                      -7.9174995
               511.34137                      -7.8922105
               511.68167                      -7.8669782
               512.02203                      -7.8418036
               512.36237                      -7.8166862
                512.7027                       -7.791626
               513.02893                      -7.7676573
               513.04303                       -7.766623
               513.38336                      -7.7416768
               513.72369                      -7.7167883
               514.06409                      -7.6919565
               514.40442                      -7.6671815
               514.74475                      -7.6424637
               515.08508                      -7.6178026
               515.42542                      -7.5931983
               515.76575                      -7.5686512
               516.05695                      -7.5476923
               516.10614                      -7.5441604
               516.44641                      -7.5197263
               516.78674                      -7.4953489
               517.12714                      -7.4710279
               517.46747                      -7.4467635
                517.8078                      -7.4225559
               518.14813                      -7.3984046
               518.48846                      -7.3743095
                518.8288                      -7.3502707
               519.10284                      -7.3309555
               519.16919                      -7.3262882
               519.50952                      -7.3023624
               519.84985                      -7.2784925
               520.19019                      -7.2546787
               520.53052                      -7.2309208
               520.87091                      -7.2072191
               521.21124                      -7.1835737
               521.55151                      -7.1599841
               521.89185                      -7.1364503
               522.16675                      -7.1174855
               522.23224                      -7.1129727
               522.57257                      -7.0895505
                522.9129                      -7.0661845
               523.25323                      -7.0428739
               523.59357                      -7.0196195
               523.93396                      -6.9964204
               524.27429                      -6.9732766
               524.61462                      -6.9501891
               524.95496                      -6.9271564
               525.24872                      -6.9073215
               525.29529                      -6.9041796
               525.63562                      -6.8812585
               525.97601                      -6.8583922
               526.31635                      -6.8355818
               526.65662                      -6.8128266
               526.99701                      -6.7901268
               527.33734                      -6.7674818
               527.67767                      -6.7448926
               528.01801                      -6.7223582
               528.34888                      -6.7005057
               528.35834                      -6.6998787
               528.69867                      -6.6774545
               529.03906                      -6.6550856
               529.37939                      -6.6327715
               529.71973                      -6.6105123
               530.06006                      -6.5883083
               530.40039                      -6.5661588
               530.74072                       -6.544064
               531.08112                      -6.5220246
               531.42145                      -6.5000396
               531.46729                      -6.4970798
               531.76172                      -6.4781094
               532.10211                       -6.456234
               532.44244                       -6.434413
               532.78278                      -6.4126468
               533.12311                      -6.3909354
               533.46344                       -6.369278
               533.80377                      -6.3476753
               534.14417                      -6.3261271
                534.4845                      -6.3046336
               534.60419                      -6.2970886
               534.82483                      -6.2831941
               535.16516                      -6.2618089
               535.50549                      -6.2404785
               535.84583                       -6.219202
               536.18622                      -6.1979795
               536.52655                      -6.1768117
               536.86682                      -6.1556978
               537.20721                      -6.1346378
               537.54755                      -6.1136322
               537.75952                      -6.1005764
               537.88788                      -6.0926805
               538.22821                      -6.0717831
               538.56854                      -6.0509396
               538.90894                      -6.0301495
               539.24927                      -6.0094137
                539.5896                      -5.9887319
               539.92993                      -5.9681039
               540.27026                      -5.9475293
                540.6106                      -5.9270086
               540.93353                       -5.907589
               540.95099                      -5.9065418
               541.29132                      -5.8861289
               541.63165                      -5.8657694
               541.97198                      -5.8454633
               542.31232                       -5.825211
               542.65265                      -5.8050122
               542.99298                      -5.7848668
               543.33331                      -5.7647748
               543.67365                      -5.7447362
               544.01404                      -5.7247515
               544.12622                      -5.7181726
               544.35437                      -5.7048197
                544.6947                      -5.6849413
               545.03503                      -5.6651163
               545.37537                      -5.6453443
                545.7157                      -5.6256256
               546.05609                      -5.6059599
               546.39642                      -5.5863476
               546.73669                      -5.5667887
               547.07709                      -5.5472822
               547.33783                      -5.5323744
               547.41742                      -5.5278292
               547.75775                      -5.5084291
               548.09808                      -5.4890819
               548.43842                      -5.4697876
               548.77875                      -5.4505463
               549.11914                      -5.4313574
               549.45947                      -5.4122219
                549.7998                      -5.3931389
               550.14014                      -5.3741083
               550.48047                      -5.3551311
               550.56836                      -5.3502402
                550.8208                       -5.336206
               551.16119                      -5.3173337
               551.50153                      -5.2985144
                551.8418                       -5.279747
               552.18219                      -5.2610326
               552.52252                      -5.2423706
               552.86285                      -5.2237606
               553.20319                      -5.2052035
               553.54352                      -5.1866984
               553.81793                      -5.1718178
               553.88385                      -5.1682463
               554.22424                      -5.1498461
               554.56458                      -5.1314979
               554.90491                      -5.1132021
               555.24524                      -5.0949588
               555.58557                       -5.076767
               555.92596                      -5.0586276
                556.2663                      -5.0405407
               556.60663                      -5.0225053
                556.9469                      -5.0045223
               557.08673                      -4.9971523
               557.28729                      -4.9865909
               557.62762                      -4.9687114
               557.96796                      -4.9508843
               558.30829                      -4.9331083
               558.64862                      -4.9153848
               558.98901                      -4.8977127
               559.32935                      -4.8800926
               559.66968                       -4.862524
               560.01001                      -4.8450069
               560.35034                      -4.8275414
               560.37476                      -4.8262901
               560.69067                      -4.8101277
               561.03107                      -4.7927656
                561.3714                       -4.775455
               561.71173                      -4.7581954
               562.05206                      -4.7409878
                562.3924                      -4.7238312
               562.73273                      -4.7067261
               563.07312                       -4.689672
