        Frequency / THz                Eps' (Fit)/real
               741.75171                       -1.142897
                742.0921                      -1.1423947
               742.43243                      -1.1419011
               742.77277                      -1.1414163
                743.1131                      -1.1409401
               743.28619                      -1.1407013
               743.45349                      -1.1404725
               743.79376                      -1.1400136
               744.13416                      -1.1395631
               744.47449                      -1.1391211
               744.81482                      -1.1386873
               745.15515                      -1.1382619
               745.49554                      -1.1378447
               745.83582                      -1.1374357
               746.17615                      -1.1370348
               746.51654                       -1.136642
               746.85681                      -1.1362572
                747.1972                      -1.1358802
               747.53754                      -1.1355113
               747.67322                      -1.1353663
               747.87787                      -1.1351501
                748.2182                      -1.1347966
               748.55859                      -1.1344508
               748.89886                      -1.1341127
               749.23926                      -1.1337823
               749.57959                      -1.1334592
               749.91992                      -1.1331437
               750.26025                      -1.1328355
               750.60065                      -1.1325347
               750.94092                      -1.1322412
               751.28125                       -1.131955
               751.62164                       -1.131676
               751.96191                      -1.1314039
               752.08612                      -1.1313064
               752.30231                       -1.131139
               752.64264                      -1.1308812
               752.98297                      -1.1306303
                753.3233                      -1.1303861
                753.6637                       -1.130149
               754.00397                      -1.1299186
               754.34436                      -1.1296948
               754.68469                      -1.1294779
               755.02502                      -1.1292675
               755.36536                      -1.1290636
               755.70575                      -1.1288663
               756.04602                      -1.1286755
               756.38635                       -1.128491
               756.52521                      -1.1284176
               756.72675                      -1.1283129
               757.06702                      -1.1281412
               757.40741                      -1.1279756
               757.74774                      -1.1278162
               758.08807                       -1.127663
               758.42841                      -1.1275159
                758.7688                      -1.1273748
               759.10907                      -1.1272397
               759.44946                      -1.1271106
               759.78979                      -1.1269872
               760.13013                      -1.1268698
               760.47046                      -1.1267581
               760.81085                      -1.1266522
               760.99036                      -1.1265986
               761.15112                       -1.126552
               761.49146                      -1.1264573
               761.83185                      -1.1263683
               762.17212                      -1.1262848
               762.51251                      -1.1262068
               762.85284                      -1.1261342
               763.19318                      -1.1260669
               763.53351                      -1.1260051
                763.8739                      -1.1259485
               764.21417                      -1.1258972
               764.55457                       -1.125851
                764.8949                        -1.12581
               765.23523                       -1.125774
               765.48193                      -1.1257513
               765.57556                      -1.1257432
               765.91595                      -1.1257174
               766.25623                      -1.1256964
               766.59656                      -1.1256804
               766.93695                      -1.1256694
               767.27722                       -1.125663
               767.61761                      -1.1256615
               767.95795                      -1.1256646
               768.29834                      -1.1256725
               768.63861                       -1.125685
                 768.979                       -1.125702
               769.31927                      -1.1257237
               769.65967                      -1.1257498
                     770                      -1.1257805
                     770                      -1.1257805
