        Frequency / THz                Eps'' (Fit)/real
               760.13013                       5.9048085
               760.47046                       5.9062414
               760.81085                       5.9076614
               760.99036                       5.9084053
               761.15112                       5.9090676
               761.49146                       5.9104609
               761.83185                       5.9118404
               762.17212                       5.9132071
               762.51251                       5.9145603
               762.85284                       5.9159002
               763.19318                       5.9172268
               763.53351                       5.9185405
                763.8739                       5.9198413
               764.21417                       5.9211287
               764.55457                       5.9224029
                764.8949                       5.9236641
               765.23523                       5.9249125
               765.48193                       5.9258094
               765.57556                       5.9261479
               765.91595                       5.9273701
               766.25623                       5.9285798
               766.59656                       5.9297767
               766.93695                       5.9309602
               767.27722                       5.9321313
               767.61761                       5.9332895
               767.95795                       5.9344349
               768.29834                       5.9355679
               768.63861                       5.9366879
                 768.979                       5.9377952
               769.31927                         5.93889
               769.65967                       5.9399724
                     770                       5.9410419
                     770                       5.9410419

